[ 2023-08-18 21:31:27,966 ] Using spritesheet cache size of 910
[ 2023-08-19 10:33:58,135 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:59,772 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:34:00,587 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:34:00,589 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:34:00,601 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:34:01,553 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:41:16,003 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:41:16,820 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:41:16,890 ] Disconnected from gameserver
[ 2023-08-19 10:41:17,051 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 10:41:17,055 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:41:17,061 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:41:18,020 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:48:18,388 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:48:19,372 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:48:19,459 ] Disconnected from gameserver
[ 2023-08-19 10:48:19,620 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:48:19,624 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:48:19,637 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:48:20,555 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:54:08,521 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:54:08,604 ] Disconnected from gameserver
[ 2023-08-19 10:54:50,989 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:54:51,591 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:54:51,594 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:54:52,106 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:54:52,524 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:55:22,260 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:55:23,075 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:55:23,141 ] Disconnected from gameserver
[ 2023-08-19 10:55:23,299 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 10:55:23,304 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:55:23,315 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:55:24,244 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:56:18,077 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:56:18,146 ] Disconnected from gameserver
[ 2023-08-19 10:56:18,186 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:56:19,632 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:56:19,637 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:56:19,648 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:56:20,593 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:56:22,222 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 10:56:22,291 ] Disconnected from gameserver
[ 2023-08-19 11:10:51,072 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 11:10:51,081 ] Using spritesheet cache size of 910
[ 2023-08-19 11:10:56,248 ] Asset loading complete
[ 2023-08-19 11:11:02,056 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:11:03,610 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 11:11:03,611 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 11:11:03,611 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 11:11:03,611 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 11:11:03,611 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 11:11:03,676 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 11:11:03,682 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:11:03,694 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:11:04,672 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:14:02,721 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 11:14:02,791 ] Disconnected from gameserver
[ 2023-08-19 11:14:03,444 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:18:38,049 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 11:18:38,053 ] Using spritesheet cache size of 910
[ 2023-08-19 11:18:39,212 ] Asset loading complete
[ 2023-08-19 11:19:06,961 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:19:08,548 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 11:19:08,548 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 11:19:08,548 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 11:19:08,548 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 11:19:08,548 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 11:19:08,623 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 11:19:08,630 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Fazendo-Tibia"
[ 2023-08-19 11:19:08,643 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Fazendo-Tibia"
[ 2023-08-19 11:19:09,621 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:21:11,364 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 11:21:11,436 ] Disconnected from gameserver
[ 2023-08-19 11:21:11,855 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:44:10,225 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 11:44:10,233 ] Using spritesheet cache size of 910
[ 2023-08-19 11:44:14,783 ] Asset loading complete
[ 2023-08-19 11:44:40,606 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 11:44:40,606 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 11:44:40,606 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 11:44:40,606 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 11:44:40,606 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 11:44:40,695 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 11:44:40,703 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:44:40,705 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:44:43,698 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:44:44,779 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 11:44:45,780 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:44:49,879 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 11:44:49,887 ] Disconnected from gameserver
[ 2023-08-19 11:44:51,177 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 11:44:51,179 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:44:54,203 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:44:54,752 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:46:00,428 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 11:46:00,435 ] Using spritesheet cache size of 910
[ 2023-08-19 11:46:02,467 ] Asset loading complete
[ 2023-08-19 11:46:05,132 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:46:06,451 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 11:46:06,451 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 11:46:06,451 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 11:46:06,451 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 11:46:06,451 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 11:46:06,538 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 11:46:06,546 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:46:06,556 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:46:07,527 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:51:10,296 ] Retrying to obtain clipboard.
[ 2023-08-19 11:51:31,103 ] Retrying to obtain clipboard.
[ 2023-08-19 11:55:21,574 ] Retrying to obtain clipboard.
[ 2023-08-19 11:55:34,929 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 11:55:35,011 ] Disconnected from gameserver
[ 2023-08-19 11:55:35,114 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 11:55:38,887 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 11:55:38,976 ] Disconnected from gameserver
[ 2023-08-19 11:55:39,261 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:55:39,980 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 11:55:39,984 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:55:39,996 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:55:40,929 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 11:55:44,588 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 11:55:44,657 ] Disconnected from gameserver
[ 2023-08-19 11:55:44,714 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 11:56:46,419 ] QWindowsWindow::setGeometry: Unable to set geometry 800x600+709+167 (frame: 816x639+701+136) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1020x650+709+167 (frame: 1036x689+701+136) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 11:56:46,430 ] Using spritesheet cache size of 910
[ 2023-08-19 11:56:47,535 ] Asset loading complete
[ 2023-08-19 11:56:58,886 ] News query failed: "Unrecognized event news."
[ 2023-08-19 11:57:00,662 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 11:57:00,662 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 11:57:00,662 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 11:57:00,662 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 11:57:00,662 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 11:57:00,728 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 11:57:00,737 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:57:00,748 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 11:57:01,724 ] News query failed: "Unrecognized event news."
[ 2023-08-19 12:13:27,811 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 12:25:34,517 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 12:35:31,136 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:35:31,205 ] Disconnected from gameserver
[ 2023-08-19 12:35:31,547 ] News query failed: "Unrecognized event news."
[ 2023-08-19 12:35:36,836 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:35:36,840 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:35:36,851 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:35:37,772 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:35:51,538 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:35:51,606 ] Disconnected from gameserver
[ 2023-08-19 12:36:14,870 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:16,106 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:16,110 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:17,037 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
